Testcase Name,Number of Vehicles,Total Distance,Optimal Solution
C101,11,828.9,827.3
C102,11,894.8,827.3
C103,12,1079.0,826.3
C104,12,960.0,822.9
C105,11,876.3,827.3
C106,11,828.9,827.3
C107,11,828.9,827.3
C108,11,828.9,827.3
C109,11,945.6,827.3
C201,4,623.6,589.1
C202,4,620.3,589.1
C203,4,636.8,588.7
C204,5,711.9,588.1
C205,4,588.9,586.4
C206,4,588.5,586.0
C207,5,620.9,585.8
C208,4,588.3,585.8
R101,24,1646.8,1637.7
R102,18,1411.1,1466.6
R103,14,1205.5,1208.7
R104,13,1073.6,971.5
R105,19,1486.9,1355.3
R106,15,1274.9,1234.6
R107,14,1207.1,1064.6
R108,13,1122.2,932.1
R109,16,1307.6,1146.9
R110,16,1252.7,1068.0
R111,14,1202.4,1048.7
R112,14,1119.0,948.6
R201,6,1396.7,1143.2
R202,6,1231.6,1029.6
R203,5,1065.7,870.8
R204,4,948.6,731.3
R205,5,1191.7,949.8
R206,4,1105.8,875.9
R207,4,1088.0,794.0
R208,4,827.0,701.0
R209,5,1123.3,854.8
R210,6,1083.3,900.5
R211,4,980.1,746.7
RC101,19,1747.8,1619.8
RC102,17,1545.4,1457.4
RC103,14,1361.1,1258.0
RC104,13,1313.5,1132.3
RC105,18,1566.8,1513.7
RC106,16,1538.3,1372.7
RC107,14,1311.0,1207.8
RC108,14,1259.1,1114.2
RC201,8,1501.9,1261.8
RC202,5,1362.8,1092.3
RC203,4,1217.5,923.7
RC204,5,985.7,783.5
RC205,7,1578.8,1154.0
RC206,7,1328.9,1051.1
RC207,6,1303.0,962.9
RC208,5,1087.3,776.1
